td, id, tj, df, dd, db
630, 402, 629, Never attacked, Never attacked, 1
631, 2484, 614, 1, 16, 17
631, 400, 627, 1, 3, 4
632, 2485, 615, 1, 16, 17
633, 2490, 623, 1, 9, 10
634, 2491, 625, 1, 8, 9
636, 2493, 627, 1, 8, 9
636, 2494, 627, 1, 8, 9
637, 2496, 629, 1, 7, 8
639, 2377, 486, 1, 152, 153
639, 2377, 486, 1, 152, 153
639, 2377, 486, 1, 152, 153
643, 2504, 641, 1, 1, 2
643, 2505, 641, 1, 1, 2
644, 2492, 626, 1, 17, 18
645, 2495, 628, 1, 16, 17
646, 2499, 635, 1, 10, 11
646, 2506, 642, 1, 3, 4
646, 398, 625, Never attacked, Never attacked, 21
646, 401, 628, Never attacked, Never attacked, 18
646, 305, 486, 96, 64, 160
646, 306, 489, 103, 54, 157
646, 412, 645, Never attacked, Never attacked, 1
647, 2500, 637, 1, 9, 10
648, 2501, 638, 1, 9, 10
648, 2507, 644, 1, 3, 4
650, 2365, 472, 1, 177, 178
650, 2366, 472, 1, 177, 178
653, 2359, 467, 1, 185, 186
653, 2359, 467, 1, 185, 186
653, 2359, 467, 1, 185, 186
653, 2360, 467, 1, 185, 186
653, 413, 646, 1, 6, 7
654, 411, 644, 1, 9, 10
654, 404, 635, 1, 18, 19
654, 409, 641, 1, 12, 13
668, 2524, 666, 1, 1, 2
676, 2502, 639, 1, 36, 37
677, 2503, 640, 1, 36, 37
677, 2508, 645, 2, 30, 32
678, 2509, 646, 2, 30, 32
679, 421, 662, Never attacked, Never attacked, 17
679, 419, 657, Never attacked, Never attacked, 22
679, 352, 559, 89, 31, 120
679, 430, 678, Never attacked, Never attacked, 1
681, 2528, 675, 1, 5, 6
682, 2529, 677, 1, 4, 5
682, 2525, 668, 1, 13, 14
683, 2523, 665, 1, 17, 18
684, 2536, 682, 1, 1, 2
685, 2533, 680, 1, 4, 5
686, 2512, 648, 1, 37, 38
686, 2515, 652, 25, 9, 34
686, 2518, 657, 20, 9, 29
687, 2519, 660, 18, 9, 27
687, 2522, 664, 14, 9, 23
688, 2526, 672, 7, 9, 16
688, 2527, 674, 13, 1, 14
688, 2530, 678, 9, 1, 10
689, 2537, 684, 3, 2, 5
689, 2538, 685, 3, 1, 4
699, 2539, 691, 1, 7, 8
700, 2540, 693, 1, 6, 7
700, 442, 698, 1, 1, 2
701, 2545, 698, 1, 2, 3
703, 2546, 700, 1, 2, 3
705, 2549, 702, 1, 2, 3
706, 2550, 703, 1, 2, 3
707, 2551, 704, 1, 2, 3
707, 2541, 695, 1, 11, 12
707, 2551, 704, 1, 2, 3
708, 2552, 707, 1, 0, 1
709, 431, 679, Never attacked, Never attacked, 30
709, 426, 672, Never attacked, Never attacked, 37
709, 354, 561, 101, 47, 148
709, 326, 524, 98, 87, 185
709, 343, 548, 91, 70, 161
709, 438, 693, Never attacked, Never attacked, 16
709, 447, 704, 1, 4, 5
710, 284, 457, 93, 160, 253
710, 365, 575, 94, 41, 135
710, 366, 576, 101, 33, 134
710, 359, 570, 95, 45, 140
710, 312, 498, 102, 110, 212
710, 443, 700, 1, 9, 10
710, 445, 702, 1, 7, 8
711, 320, 514, 95, 102, 197
711, 263, 423, 83, 205, 288
711, 338, 542, 92, 77, 169
711, 340, 545, 92, 74, 166
711, 311, 495, 102, 114, 216
712, 344, 549, 94, 69, 163
712, 332, 533, 96, 83, 179
712, 334, 536, 96, 80, 176
712, 337, 541, 91, 80, 171
712, 287, 464, 90, 158, 248
713, 280, 451, 88, 174, 262
713, 351, 558, 85, 70, 155
713, 358, 567, 97, 49, 146
713, 380, 595, 102, 16, 118
713, 379, 591, Never attacked, Never attacked, 122
714, 384, 599, 1, 114, 115
714, 368, 578, 30, 106, 136
714, 410, 642, 1, 71, 72
714, 407, 639, 4, 71, 75
714, 422, 664, Never attacked, Never attacked, 50
715, 2553, 708, 1, 6, 7
715, 437, 691, Never attacked, Never attacked, 24
715, 439, 695, Never attacked, Never attacked, 20
715, 450, 709, Never attacked, Never attacked, 6
716, 2554, 709, 1, 6, 7
716, 449, 708, Never attacked, Never attacked, 8
723, 2556, 712, 1, 10, 11
723, 2556, 712, 1, 10, 11
723, 2563, 720, 1, 2, 3
723, 2564, 720, 1, 2, 3
724, 2565, 723, 1, 0, 1
727, 2566, 724, 1, 2, 3
727, 2567, 724, 1, 2, 3
729, 2557, 715, 1, 13, 14
729, 462, 728, 1, 0, 1
730, 2562, 719, 1, 10, 11
732, 455, 717, 1, 14, 15
732, 456, 718, 1, 13, 14
732, 458, 720, Never attacked, Never attacked, 12
733, 461, 725, 8, 0, 8
733, 457, 719, 1, 13, 14
733, 460, 724, 6, 3, 9
741, 2577, 740, 1, 0, 1
742, 2574, 736, 1, 5, 6
743, 2575, 738, 1, 4, 5
746, 2570, 728, 1, 17, 18
747, 2571, 729, 1, 17, 18
762, 2572, 731, 1, 30, 31
763, 2573, 735, 1, 27, 28
764, 2576, 739, 1, 24, 25
764, 2580, 743, 13, 8, 21
764, 2581, 743, 13, 8, 21
765, 2582, 744, 1, 20, 21
767, 2585, 755, 1, 11, 12
767, 2585, 755, 1, 11, 12
769, 476, 762, 1, 6, 7
